artist,song,year,value
Future,Incredible,2017,Freebandz
Young M.A,OOOUUU,2016,3D
Nicki Minaj,Come on a Cone,2012,Young Money
Florence and the Machine,Shake It Out,2011,Island
Adele,Rolling in the Deep,2011,XL
Katy B,Katy on a Mission,2010,Rinse
Nicki Minaj,Beez in the Trap [ft. 2 Chainz],2012,Young Money
Ella Mai,Boo'd Up,2018,Interscope
Gunna,Sold Out Dates [ft. Lil Baby],2018,300 Entertainment
Robyn,Honey,2018,Konichiwa
Lorde,Royals,2013,Republic
Nicki Minaj,Super Bass,2010,Young Money
Playboi Carti,Magnolia,2017,AWGE
Daft Punk,Get Lucky [ft. Pharrell],2013,Columbia
A$AP Ferg,Shabba [ft. A$AP Rocky],2013,RCA
Chairlift,I Belong in Your Arms,2012,Columbia
Kendrick Lamar,DNA.,2017,Interscope
TNGHT,Higher Ground,2012,Luckyme
Charli XCX,Track 10,2017,Atlantic
Lana Del Rey,The greatest,2019,Interscope
Kanye West,Ultralight Beam,2016,Def Jam
Jack Ü,Where Are  Now [ft. Justin Bieber],2015,OWSLA
Adele,Someone Like You,2011,XL
Beach House,Zebra,2010,Bella Union
Caribou,Can't Do Without You,2014,City Slang
Drake,Worst Behavior,2013,Young Money
Bat for Lashes,Laura,2012,EMI
Kendrick Lamar,Bitch Don't Kill My Vibe,2012,Interscope
The Knife,Full of Fire,2013,Brille
Robyn,Call Your Girlfriend,2010,Konichiwa
SZA,The Weekend,2017,RCA
Kanye West,Monster [ft. Justin Vernon Rick Ross JAY-Z and Nicki Minaj],2010,Island Def Jam
LCD Soundsystem,Dance Yrself Clean,2010,Parlophone
Drake,Hold On We're Going Home [ft. Majid Jordan],2013,Young Money
Kanye West,Runaway [ft. Pusha T],2010,Island Def Jam
Lil Uzi Vert,XO TOUR Llif3,2017,Atlantic
Lana Del Rey,Video Games,2011,Polydor
Beyoncé,Formation,2016,Columbia
Robyn,Dancing on My Own,2010,Konichiwa
Kendrick Lamar,Alright,2015,Interscope
Nicki Minaj,Come on a Cone,2012,Republic
Nicki Minaj,Beez in the Trap [ft. 2 Chainz],2012,Republic
Nicki Minaj,Super Bass,2010,Republic
Kendrick Lamar,DNA.,2017,Top Dawg
Drake,Worst Behavior,2013,Republic
Kendrick Lamar,Bitch Don't Kill My Vibe,2012,Top Dawg
The Knife,Full of Fire,2013,Mute
LCD Soundsystem,Dance Yrself Clean,2010,DFA
Drake,Hold On We're Going Home [ft. Majid Jordan],2013,Republic
Kendrick Lamar,Alright,2015,Top Dawg
